6.21592660054e-14, 8.2070862965e-13
5.84609512267e-14, 1.35965586376e-12
5.98e-14, 2.96e-12
1.21120004293e-13, 5.46458266375e-12
1.73670429187e-13, 6.54814066182e-12
2.97047483525e-13, 8.04712967877e-12
4.00586101828e-13, 1.05039101945e-11
8.82441405249e-13, 1.20343877383e-11
1.44147089385e-12, 1.30175123988e-11
2.24877434263e-12, 1.83026932048e-11
3.53521537663e-12, 2.19934823977e-11
1.81566565073e-09, 3.06638724676e-11
0.1352557938, 3.58785596577e-11
0.2595409426, 5.02336806123e-11
0.5174946658, 4.97430029756e-11
1.0804032391, 5.96900578777e-11
2.1214161832, 5.73113976892e-11
4.1654879028, 5.26867002852e-11
8.7634654249, 2.78359469409e-11
16.3081943166, 1.56206103779e-11
33.0191491152, 2.81894758011e-11
85.4448472151, 5.82869056505e-12
177.025519502, 1.02569916036e-12
347.596886358, 5.83716540658e-13
