3.1698358217155E-06,3.31688084470841E-11,3.1698358217155E-06,3.1698358217155E-06,3.31688084470841E-11,3.31688084470841E-11
3.42265236320228E-06,2.92373771382945E-11,3.42265236320228E-06,3.42265236320228E-06,2.92373771382945E-11,2.92373771382945E-11
3.7935861873835E-06,2.68263316579394E-11,3.7935861873835E-06,3.7935861873835E-06,2.68263316579394E-11,2.68263316579394E-11
4.43830166457652E-06,2.392581328119E-11,4.43830166457652E-06,4.43830166457652E-06,2.392581328119E-11,2.392581328119E-11
4.81322720288342E-06,2.18030077335159E-11,4.81322720288342E-06,4.81322720288342E-06,2.18030077335159E-11,2.18030077335159E-11
5.21527487340552E-06,1.97265595788046E-11,5.21527487340552E-06,5.21527487340552E-06,1.97265595788046E-11,1.97265595788046E-11
5.58720853762773E-06,1.75936832206824E-11,5.58720853762773E-06,5.58720853762773E-06,1.75936832206824E-11,1.75936832206824E-11
6.02756910096916E-06,1.57992098565841E-11,6.02756910096916E-06,6.02756910096916E-06,1.57992098565841E-11,1.57992098565841E-11
6.63437055086721E-06,1.45626485146595E-11,6.63437055086721E-06,6.63437055086721E-06,1.45626485146595E-11,1.45626485146595E-11
7.44369820038616E-06,1.24735441036088E-11,7.44369820038616E-06,7.44369820038616E-06,1.24735441036088E-11,1.24735441036088E-11
8.09364993266006E-06,1.17243740819573E-11,8.09364993266006E-06,8.09364993266006E-06,1.17243740819573E-11,1.17243740819573E-11
0.000009081,1.06458902930552E-11,0.000009081,0.000009081,1.06458902930552E-11,1.06458902930552E-11
9.72861745640874E-06,9.07123057026745E-12,9.72861745640874E-06,9.72861745640874E-06,9.07123057026745E-12,9.07123057026745E-12
1.14217541446484E-05,8.92747794212991E-12,1.14217541446484E-05,1.14217541446484E-05,8.92747794212991E-12,8.92747794212991E-12
1.30633133692781E-05,6.77345928913052E-12,1.30633133692781E-05,1.30633133692781E-05,6.77345928913052E-12,6.77345928913052E-12
1.74039256926076E-05,5.82830330501114E-12,1.74039256926076E-05,1.74039256926076E-05,5.82830330501114E-12,5.82830330501114E-12
2.35536263863927E-05,4.51822821744211E-12,2.35536263863927E-05,2.35536263863927E-05,5.0379735595121E-12,4.02445673747658E-12
3.32388640525083E-05,4.90988210199979E-12,3.32388640525083E-05,3.32388640525083E-05,5.66532311376681E-12,4.18228576038205E-12
6.01402777109626E-05,5.88750276926243E-12,8.04734885412875E-05,3.99533209050161E-05,7.38223124549283E-12,4.37901550994718E-12
